page_url	image_url	author	title	annotation	genre
https://www.biblio-globus.ru/product/10567224	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10567224.jpg	Гоголь Н. В. 	Нос	Подарочное издание классического произведения Н.В. Гоголя Нос, с иллюстрациями современного художника-графика Олега Корытова. Дизайн обложки - блинтованное тиснение на брутальном крафте в обрез.    Сам текст произведения...	Классическая литература
https://www.biblio-globus.ru/product/10044586	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10044586.jpg	Толстой Л. Н.	Война и мир. В 2 т.	«Война и мир» Л. Н. Толстого — книга на все времена. Кажется, что она существовала всегда, настолько знакомым кажется текст, едва мы открываем первые страницы романа, настолько памятны многие его эпизоды: охота и святки, первый...	Классическая литература
https://www.biblio-globus.ru/product/10894146	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10894146.jpg	Набоков В.В. 	Поэмы 1918-1947. Жалобная песнь Супермена	Все мы привыкли думать о Владимире Набокове как о великолепном прозаике, уникальном, ни на кого не похожем стилисте. Широкой публике гораздо менее известен Набоков-поэт. В настоящее издание вошли как известные, так и никогда...	Классическая литература
https://www.biblio-globus.ru/product/10887280	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10887280.jpg	Олкотт Л.М. 	Маленькие женщины	"В Америке началась Гражданская война, глава семейства Марч ушел на фронт, а все заботы по дому легли на плечи его жены и дочерей. 
Старшая из сестер, шестнадцатилетняя Маргарет - женственная и романтичная красавица с прекрасными..."	Классическая литература
https://www.biblio-globus.ru/product/10893153	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10893153.jpg	Набоков В. В.	Истинная жизнь Севастьяна Найта	«Истинная жизнь Севастьяна Найта» — первый англоязычный роман Владимира Набокова, оконченный в 1939 году в Париже и два года спустя опубликованный в США. Его лабиринтообразная структура и квазидетективный сюжет предопределили...	Классическая литература
https://www.biblio-globus.ru/product/10835727	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10835727.jpg	Старшинов А	Завещание императора	Дакия разгромлена. Римский император Траян — победитель, в Риме он выстроил новый грандиозный Форум как символ своей победы. Его центурион Гай Приск вернул себе имущество отца и звание римского всадника. Он женат и счастлив. Но...	Классическая литература
https://www.biblio-globus.ru/product/10275510	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10275510.jpg	Гёте И. В.	Малое собрание сочинений	Иоганн Вольфганг Гёте - поэт, общественный деятель, мыслитель и естествоиспытатель, проживший жизнь, богатую яркими событиями, впечатлениями и кипучей деятельностью, - составляет вечную гордость и славу Германии. В настоящем томе...	Классическая литература
https://www.biblio-globus.ru/product/10182039	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10182039.jpg	Лондон Дж.	Смок Беллью ; Смок и Малыш	Два цикла рассказов американского писателя Джека Лондона, «Смок Беллью» и «Смок и Малыш» (1911), объединены образом главного героя — молодого писателя из Сан-Франциско, который променял унылую жизнь газетного клерка на...	Классическая литература
https://www.biblio-globus.ru/product/10886876	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10886876.jpg	Булгаков М.	&quot;Мне нужно видеть свет...&quot;. Дневники, письма, документы	В настоящее издание включены дневники и письма, а также документальные материалы, освещающие жизненный и творческий путь М. А. Булгакова с 1914 по 1940 г. По сути это не что иное, как его жизнеописание, составленное по дневникам...	Классическая литература
https://www.biblio-globus.ru/product/10747756	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10747756.jpg	Лермонтов М.Ю.	Герой нашего времени	«Герой нашего времени» — самое крупное и значительное произведение Михаила Юрьевича Лермонтова, первый в русской литературе социально-психологический роман, герой которого, молодой офицер Григорий Печорин, стал поистине ярким...	Классическая литература
